Player,Tm,Tm_name,Opp,Opp_name,points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
Dennis Schröder,9,GSW,21,ORL,11.6,5.2,3.6,5.0,5.0,6.0,1,9,21,3.0,12.8,2.6,5.0,20.0,2.0,7.0
Dereck Lively,6,DAL,17,MIN,8.2,3.2,8.4,4.0,1.0,4.0,1,6,17,2.0,10.0,4.4,2.6,5.0,9.0,1.0
Dereck Lively II,6,DAL,7,DEN,12.6,3.2,10.2,14.0,8.0,6.0,1,6,7,2.0,17.8,4.4,7.6,14.0,6.0,8.0
Derrick Jones,12,LAC,9,GSW,8.2,0.8,1.8,13.0,0.0,2.0,1,12,9,4.0,15.2,5.4,2.4,7.0,3.0,0.0
Derrick Jones Jr.,12,LAC,11,IND,11.2,1.6,5.0,17.0,2.0,2.0,1,12,11,2.0,9.4,2.4,3.4,11.15,4.2,0.85
Derrick White,1,BOS,6,DAL,19.6,4.6,3.0,20.0,2.0,5.0,1,1,6,2.0,13.0,4.4,3.0,23.0,4.0,4.0
Desmond Bane,14,MEM,16,MIL,20.2,7.6,5.2,24.0,6.0,12.0,1,14,16,3.0,14.4,4.6,6.4,17.925,5.675,5.45
Devin Booker,23,PHO,28,UTA,29.8,6.2,3.6,19.0,3.0,2.0,1,23,28,2.0,28.0,4.4,5.2,34.0,5.0,4.0
Devin Carter,25,SAC,24,POR,3.6,1.6,2.4,9.0,4.0,3.0,1,25,24,1.0,27.0,5.2,5.0,3.6875,2.5,1.3125
Devin Vassell,26,SAS,4,CHO,16.0,2.8,2.8,20.0,4.0,3.0,1,26,4,2.0,25.6,4.6,6.6,16.147058823529413,3.6176470588235294,3.0
Dillon Brooks,10,HOU,17,MIN,15.2,1.0,4.4,16.0,1.0,3.0,1,10,17,2.0,15.6,3.8,3.0,22.0,3.0,2.0
Dillon Jones,20,OKC,27,TOR,2.4,2.2,3.6,6.0,2.0,2.0,1,20,27,2.0,17.2,4.0,2.4,2.0625,2.03125,0.90625
Domantas Sabonis,25,SAC,24,POR,17.0,6.4,13.4,21.0,3.0,13.0,1,25,24,1.0,13.2,7.8,5.0,21.0,14.0,11.0
Dominick Barlow,0,ATL,16,MIL,3.4,0.2,2.4,5.0,0.0,3.0,1,0,16,2.0,6.6,5.0,3.4,2.8,1.5333333333333334,0.2
Donovan Clingan,24,POR,25,SAC,2.0,0.6,4.8,4.0,0.0,5.0,1,24,25,3.0,8.6,2.4,1.4,2.0,6.0,0.0
Donovan Mitchell,5,CLE,29,WAS,24.4,6.0,4.0,31.0,6.0,10.0,1,5,29,3.0,19.6,6.6,4.4,20.0,6.0,6.0
Donte DiVincenzo,17,MIN,9,GSW,15.4,3.8,5.2,13.0,0.0,3.0,1,17,9,2.0,13.4,3.4,4.0,19.0,4.0,4.0
Dorian Finney-Smith,13,LAL,9,GSW,7.8,0.6,3.4,7.0,2.0,4.0,1,13,9,2.0,13.6,3.6,4.2,8.0,3.0,0.0
Doug McDermott,25,SAC,17,MIN,3.0,0.0,0.2,0.0,0.0,0.0,1,25,17,2.0,12.2,4.8,1.8,0.0,1.0,0.0
Draymond Green,9,GSW,13,LAL,5.0,5.6,5.4,7.0,9.0,4.0,1,9,13,1.0,5.4,4.2,4.0,3.0,10.0,6.0
Drew Eubanks,12,LAC,11,IND,5.8,1.0,3.2,2.0,0.0,1.0,1,12,11,2.0,14.2,4.6,1.8,5.666666666666667,4.461538461538462,1.1538461538461537
Drew Peterson,1,BOS,6,DAL,2.4,0.6,1.6,0.0,0.0,2.0,1,1,6,8.0,10.0,5.4,2.6,2.7142857142857144,1.9285714285714286,0.7857142857142857
Dru Smith,15,MIA,2,BRK,11.2,2.2,2.2,14.0,0.0,4.0,1,15,2,2.0,2.8,3.8,2.0,6.285714285714286,2.5714285714285716,1.6428571428571428
Duncan Robinson,15,MIA,2,BRK,8.8,2.0,1.6,0.0,1.0,0.0,1,15,2,2.0,8.0,3.6,1.6,15.0,7.0,0.0
Duop Reath,24,POR,11,IND,0.8,0.2,0.6,2.0,0.0,1.0,1,24,11,3.0,7.8,1.6,2.2,2.28,0.88,0.24
Dwight Powell,6,DAL,20,OKC,0.6,0.6,2.2,0.0,1.0,0.0,1,6,20,2.0,6.0,0.6,2.0,0.0,0.0,0.0
Dyson Daniels,0,ATL,16,MIL,16.0,5.8,7.0,19.0,7.0,8.0,1,0,16,2.0,8.6,3.2,4.0,11.0,8.0,5.0
E.J. Liddell,3,CHI,2,BRK,2.6,0.6,0.8,5.0,2.0,4.0,1,3,2,5.0,11.4,2.6,1.4,2.5,0.8333333333333334,0.5
Elfrid Payton,18,NOP,0,ATL,7.2,7.8,3.8,6.0,7.0,1.0,1,18,0,1.0,9.0,5.2,3.4,6.714285714285714,3.4285714285714284,6.857142857142857
Elijah Harkless,28,UTA,9,GSW,4.2,0.8,2.0,2.0,0.0,1.0,1,28,9,1.0,6.0,2.2,3.2,3.5555555555555554,2.3333333333333335,0.8888888888888888
Emoni Bates,5,CLE,29,WAS,0.0,0.8,0.0,0.0,1.0,0.0,1,5,29,8.0,8.6,2.2,1.4,0.0,0.0,0.8
Enrique Freeman,11,IND,24,POR,2.4,0.2,1.4,6.0,1.0,4.0,1,11,24,27.0,9.6,3.6,2.2,1.6842105263157894,1.0,0.42105263157894735
Eric Gordon,22,PHI,8,DET,11.4,2.6,1.8,5.0,5.0,3.0,1,22,8,2.0,1.4,0.2,1.0,0.0,1.0,2.0
Evan Mobley,5,CLE,29,WAS,19.4,3.6,10.0,30.0,7.0,9.0,1,5,29,2.0,9.8,5.0,1.8,19.0,10.0,2.0
Franz Wagner,21,ORL,7,DEN,28.4,3.0,5.0,31.0,3.0,5.0,1,21,7,1.0,15.0,3.8,4.2,24.78787878787879,5.363636363636363,5.090909090909091
Fred VanVleet,10,HOU,2,BRK,14.2,5.8,3.2,13.0,5.0,1.0,1,10,2,2.0,24.4,8.8,4.8,14.622222222222222,3.888888888888889,5.8
GG Jackson II,14,MEM,27,TOR,11.0,1.4,3.8,27.0,1.0,4.0,1,14,27,2.0,14.0,8.0,4.0,9.88888888888889,3.888888888888889,0.8888888888888888
Gabe Vincent,13,LAL,9,GSW,8.6,2.4,1.4,12.0,2.0,3.0,1,13,9,2.0,8.8,2.4,4.4,7.0,0.0,2.0
Garrett Temple,27,TOR,3,CHI,0.8,0.4,0.2,0.0,0.0,0.0,1,27,3,2.0,14.2,4.8,3.8,0.0,0.0,0.0
Garrison Mathews,0,ATL,16,MIL,5.2,0.2,2.8,0.0,1.0,1.0,1,0,16,2.0,9.6,4.6,2.2,7.534883720930233,1.8372093023255813,1.302325581395349
Gary Harris,21,ORL,25,SAC,3.8,0.4,0.6,6.0,0.0,0.0,1,21,25,2.0,10.0,1.6,1.8,3.75,1.2083333333333333,0.4583333333333333
Gary Payton,9,GSW,13,LAL,5.2,1.8,4.4,7.0,4.0,5.0,1,9,13,4.0,16.6,3.0,3.0,4.642857142857143,2.7857142857142856,1.2142857142857142
Gary Payton II,9,GSW,13,LAL,6.6,1.4,3.0,9.0,1.0,1.0,1,9,13,1.0,8.4,2.0,1.0,12.0,6.0,2.0
Gary Trent,16,MIL,3,CHI,12.8,0.6,3.6,14.0,0.0,3.0,1,16,3,2.0,7.6,3.0,0.6,14.0,4.0,0.0
Gary Trent Jr.,16,MIL,0,ATL,7.2,1.2,3.4,13.0,0.0,6.0,1,16,0,2.0,3.6,1.8,0.4,10.705882352941176,2.4705882352941178,1.3529411764705883
Georges Niang,5,CLE,8,DET,9.4,0.4,2.8,6.0,0.0,2.0,1,5,8,1.0,7.4,3.4,1.0,3.0,3.0,0.0
Giannis Antetokounmpo,16,MIL,14,MEM,34.0,4.6,13.8,35.0,6.0,14.0,1,16,14,2.0,10.2,4.2,1.2,37.0,11.0,4.0
Goga Bitadze,21,ORL,7,DEN,7.0,2.0,8.2,14.0,2.0,7.0,1,21,7,1.0,6.0,2.6,1.8,9.142857142857142,8.095238095238095,2.2857142857142856
Gradey Dick,27,TOR,20,OKC,13.6,0.6,4.2,13.0,0.0,7.0,1,27,20,2.0,14.4,8.2,3.6,15.0,1.0,0.0
Grant Williams,4,CHO,16,MIL,12.8,2.2,6.0,12.0,1.0,3.0,1,4,16,2.0,13.2,4.2,2.4,6.0,7.0,2.0
Grayson Allen,23,PHO,28,UTA,9.0,3.0,4.4,9.0,3.0,2.0,1,23,28,2.0,9.8,5.6,2.6,14.0,4.0,4.0
Guerschon Yabusele,22,PHI,15,MIA,18.2,2.4,6.4,19.0,4.0,8.0,1,22,15,1.0,12.0,2.8,1.6,3.0,4.0,1.0
Gui Santos,9,GSW,28,UTA,3.8,1.6,4.0,0.0,0.0,1.0,1,9,28,2.0,10.8,5.8,2.8,7.0,7.0,2.0
Harrison Barnes,26,SAS,4,CHO,12.0,2.2,4.4,13.0,1.0,6.0,1,26,4,2.0,9.8,5.8,1.4,11.63265306122449,4.0,1.7755102040816326
Harrison Ingram,26,SAS,14,MEM,0.0,0.0,1.0,0.0,0.0,1.0,1,26,14,89.0,8.8,3.8,2.0,0.0,1.0,0.0
Haywood Highsmith,15,MIA,2,BRK,6.2,1.4,2.4,3.0,0.0,1.0,1,15,2,2.0,5.0,4.6,0.8,0.0,2.0,1.0
Herbert Jones,18,NOP,24,POR,11.4,4.2,3.8,10.0,5.0,6.0,1,18,24,1.0,8.6,1.8,1.4,12.0,2.0,1.0
Hunter Tyson,7,DEN,21,ORL,1.4,0.2,2.0,4.0,0.0,2.0,1,7,21,1.0,4.4,2.4,1.2,0.0,0.0,0.0
Immanuel Quickley,27,TOR,20,OKC,13.8,4.4,1.4,9.0,5.0,1.0,1,27,20,3.0,9.8,4.4,1.2,14.307692307692308,2.230769230769231,6.0
Isaac Jones,25,SAC,21,ORL,2.8,0.6,0.6,4.0,1.0,0.0,1,25,21,2.0,6.2,2.4,3.0,3.64,1.52,0.32
Isaac Okoro,5,CLE,20,OKC,3.0,1.2,0.8,0.0,1.0,1.0,1,5,20,2.0,4.2,2.6,2.4,0.0,0.0,1.0
Isaiah Collier,28,UTA,23,PHO,13.2,8.6,3.8,20.0,11.0,6.0,1,28,23,2.0,4.2,2.2,2.2,5.0,3.0,8.0
Isaiah Crawford,25,SAC,21,ORL,1.0,0.0,1.0,2.0,0.0,2.0,1,25,21,17.0,7.6,3.6,5.0,1.0,1.0,0.0
Isaiah Hartenstein,20,OKC,27,TOR,9.8,5.0,12.2,9.0,4.0,4.0,1,20,27,2.0,3.0,5.2,2.6,2.0,16.0,6.0
Isaiah Jackson,11,IND,18,NOP,7.0,1.0,5.6,10.0,0.0,5.0,1,11,18,2.0,9.4,5.2,6.0,7.0,5.6,1.0
Isaiah Joe,20,OKC,27,TOR,13.8,1.6,2.6,12.0,1.0,3.0,1,20,27,2.0,8.0,6.8,3.0,16.0,4.0,2.0
Isaiah Stewart,8,DET,22,PHI,5.8,1.2,3.8,8.0,1.0,6.0,1,8,22,2.0,6.8,6.6,1.4,6.0,4.0,0.0
Isaiah Wong,4,CHO,16,MIL,3.8,1.0,1.2,3.0,1.0,0.0,1,4,16,2.0,9.8,5.4,1.6,5.333333333333333,1.6666666666666667,1.4444444444444444
Isiah Crawford,25,SAC,28,UTA,4.4,1.4,1.0,0.0,0.0,0.0,1,25,28,3.0,5.8,1.8,2.0,0.0,1.0,0.0
Ivica Zubac,12,LAC,11,IND,17.2,2.4,13.4,8.0,3.0,10.0,1,12,11,2.0,3.2,4.6,2.6,15.16326530612245,12.653061224489797,2.489795918367347
JD Davison,1,BOS,8,DET,1.2,0.2,0.4,0.0,0.0,1.0,1,1,8,10.0,7.4,1.8,2.0,1.2,0.4,0.2
JT Thor,5,CLE,0,ATL,1.8,0.2,0.8,0.0,1.0,0.0,1,5,0,10.0,8.6,9.2,2.2,3.111111111111111,0.6666666666666666,0.1111111111111111
Ja Morant,14,MEM,27,TOR,16.2,8.0,3.4,25.0,11.0,3.0,1,14,27,2.0,12.4,6.4,3.6,15.0,2.0,9.0
Ja'Kobe Walter,27,TOR,20,OKC,11.0,1.8,2.4,14.0,3.0,3.0,1,27,20,2.0,11.6,8.2,1.0,6.0,6.0,2.0
Jabari Smith,10,HOU,15,MIA,13.8,1.6,7.0,12.0,1.0,7.0,1,10,15,2.0,6.4,1.8,0.6,11.90625,6.6875,1.03125
Jabari Smith Jr.,10,HOU,6,DAL,12.2,0.6,7.2,0.0,0.0,0.0,1,10,6,3.0,13.8,5.0,2.0,12.0,2.0,0.0
Jabari Walker,24,POR,11,IND,3.0,0.2,2.8,0.0,0.0,3.0,1,24,11,3.0,12.8,5.8,2.4,2.0,3.0,1.0
Jack McVeigh,10,HOU,24,POR,1.0,0.0,0.4,2.0,0.0,0.0,1,10,24,5.0,11.8,6.0,3.4,1.3333333333333333,0.6666666666666666,0.16666666666666666
Jackson Rowe,9,GSW,13,LAL,3.0,1.0,3.0,6.0,0.0,5.0,1,9,13,1.0,11.4,6.0,3.0,3.0,3.0,1.0
Jacob Toppin,19,NYK,13,LAL,0.8,0.0,1.2,0.0,0.0,1.0,1,19,13,5.0,9.8,4.2,2.8,0.375,0.6875,0.25
Jaden Hardy,6,DAL,5,CLE,5.6,0.6,1.2,0.0,0.0,1.0,1,6,5,2.0,8.8,3.0,1.2,17.0,3.0,3.0
Jaden Ivey,8,DET,21,ORL,16.8,2.6,4.6,17.0,1.0,3.0,1,8,21,4.0,7.4,3.8,0.8,19.0,7.0,2.0
Jaden McDaniels,17,MIN,10,HOU,15.0,2.4,7.4,12.0,2.0,8.0,1,17,10,1.0,6.4,3.8,1.8,2.0,5.0,1.0
Jaden Springer,1,BOS,22,PHI,3.4,0.6,1.6,0.0,0.0,0.0,1,1,22,2.0,13.8,2.8,4.0,1.7307692307692308,0.9230769230769231,0.38461538461538464
Jae Crowder,25,SAC,16,MIL,2.4,0.8,2.6,0.0,0.0,2.0,1,25,16,29.0,2.8,1.2,1.2,2.857142857142857,2.4285714285714284,0.5714285714285714
Jae'Sean Tate,10,HOU,17,MIN,6.4,1.4,1.6,5.0,0.0,2.0,1,10,17,2.0,3.2,2.8,0.2,6.0,6.0,0.0
Jaime Jaquez,15,MIA,10,HOU,9.2,1.8,4.4,8.0,1.0,5.0,1,15,10,1.0,3.8,3.0,1.4,8.615384615384615,4.653846153846154,2.1153846153846154
Jaime Jaquez Jr.,15,MIA,2,BRK,8.4,2.4,4.8,9.0,2.0,6.0,1,15,2,2.0,8.0,3.4,1.6,9.0,5.0,3.0
Jake LaRavia,14,MEM,27,TOR,3.4,0.8,4.2,6.0,3.0,7.0,1,14,27,2.0,8.4,4.2,2.0,8.0,9.0,3.0
Jakob Poeltl,27,TOR,19,NYK,12.0,4.6,10.0,10.0,3.0,10.0,1,27,19,2.0,7.2,7.0,3.4,8.0,10.0,3.0
Jalen Bridges,23,PHO,20,OKC,0.8,0.0,0.6,0.0,0.0,0.0,1,23,20,40.0,4.4,3.8,0.4,0.0,0.0,0.0
Jalen Brunson,19,NYK,27,TOR,26.8,9.8,2.8,42.0,10.0,6.0,1,19,27,1.0,10.6,4.0,5.6,13.0,6.0,7.0
Jalen Duren,8,DET,22,PHI,15.4,2.6,11.0,8.0,0.0,10.0,1,8,22,2.0,15.8,4.6,3.0,4.0,0.0,2.0
Jalen Green,10,HOU,17,MIN,22.6,3.4,4.8,13.0,5.0,3.0,1,10,17,2.0,13.6,3.2,4.6,14.0,2.0,6.0
Jalen Hood-Schifino,13,LAL,28,UTA,2.0,0.5,0.5,0.0,0.0,0.0,1,13,28,23.0,13.8,3.8,4.2,2.0,0.5,0.5
Jalen Johnson,0,ATL,27,TOR,15.2,3.0,9.2,17.0,4.0,9.0,1,0,27,1.0,14.4,8.0,2.4,15.0,4.0,3.0
Jalen Pickett,7,DEN,21,ORL,1.8,1.2,1.0,4.0,2.0,2.0,1,7,21,1.0,12.2,5.0,1.4,2.0,1.0,0.0
Jalen Smith,3,CHI,17,MIN,9.6,1.4,7.6,8.0,4.0,8.0,1,3,17,1.0,13.6,5.0,3.8,9.0,6.0,0.0
Jalen Suggs,21,ORL,8,DET,18.8,2.2,3.2,6.0,1.0,2.0,1,21,8,22.0,14.2,5.4,2.2,24.0,4.0,3.0
Jalen Williams,20,OKC,27,TOR,24.2,4.6,4.2,13.0,4.0,3.0,1,20,27,2.0,11.2,4.0,1.2,20.0,7.0,2.0
Jalen Wilson,2,BRK,15,MIA,11.4,2.4,3.0,7.0,4.0,3.0,1,2,15,2.0,18.6,4.8,3.8,12.0,9.0,8.0
Jamal Cain,18,NOP,7,DEN,0.8,0.0,1.8,3.0,0.0,0.0,1,18,7,5.0,10.8,5.4,3.4,2.0,5.0,2.0
Jamal Murray,7,DEN,18,NOP,24.4,7.2,4.6,20.0,8.0,5.0,1,7,18,2.0,20.0,5.2,5.4,20.0,5.0,8.0
Jamal Shead,27,TOR,20,OKC,10.0,5.6,1.4,14.0,4.0,0.0,1,27,20,2.0,8.0,3.8,2.6,0.0,1.0,2.0
James Harden,12,LAC,11,IND,18.2,9.4,4.4,7.0,9.0,3.0,1,12,11,2.0,3.6,1.8,1.0,21.3125,5.75,8.416666666666666
James Johnson,11,IND,24,POR,0.8,0.0,0.0,0.0,0.0,0.0,1,11,24,6.0,17.4,3.2,6.6,0.8,0.5,0.4
James Wiseman,11,IND,8,DET,0.0,0.2,0.2,0.0,0.0,0.0,1,11,8,3.0,11.2,1.6,2.8,6.0,1.0,0.0
Jamison Battle,27,TOR,20,OKC,0.6,0.2,1.0,3.0,0.0,2.0,1,27,20,2.0,8.4,6.2,5.2,6.0,3.0,2.0
Jarace Walker,11,IND,24,POR,3.8,1.8,1.8,9.0,1.0,3.0,1,11,24,1.0,12.6,1.8,4.8,2.0,0.0,0.0
Jared Butler,29,WAS,13,LAL,7.4,1.8,2.6,0.0,1.0,1.0,1,29,13,11.0,6.8,2.2,4.8,6.875,1.28125,2.5625
Jared McCain,22,PHI,11,IND,13.2,2.2,2.8,11.0,4.0,0.0,1,22,11,5.0,7.6,2.2,2.8,4.0,2.0,1.0
Jared Rhoden,4,CHO,5,CLE,1.0,0.5,1.0,0.0,0.0,0.0,1,4,5,5.0,14.0,1.8,3.6,1.0,1.0,0.5
Jaren Jackson,14,MEM,20,OKC,21.6,3.6,6.6,33.0,3.0,5.0,1,14,20,2.0,8.0,3.0,1.2,21.612903225806452,5.935483870967742,1.7741935483870968
Jaren Jackson Jr.,14,MEM,27,TOR,27.6,2.2,4.4,31.0,3.0,6.0,1,14,27,2.0,10.4,4.6,3.6,26.555555555555557,6.388888888888889,2.9444444444444446
Jarred Vanderbilt,13,LAL,9,GSW,3.2,1.2,5.4,6.0,0.0,6.0,1,13,9,2.0,16.2,5.0,2.6,2.0,4.0,2.0
Jarrett Allen,5,CLE,29,WAS,11.6,2.2,13.0,6.0,6.0,13.0,1,5,29,2.0,16.0,6.0,1.4,21.0,11.0,2.0
Javonte Green,18,NOP,7,DEN,5.2,1.4,4.6,4.0,2.0,4.0,1,18,7,2.0,9.0,6.4,2.4,4.0,4.0,2.0
Jaxson Hayes,13,LAL,9,GSW,6.6,1.6,4.2,6.0,4.0,6.0,1,13,9,2.0,7.0,5.4,1.4,0.0,3.0,1.0
Jay Huff,14,MEM,27,TOR,3.2,0.4,0.8,0.0,0.0,0.0,1,14,27,2.0,9.2,8.0,1.6,7.75,2.227272727272727,0.6590909090909091
Jaylen Brown,1,BOS,6,DAL,24.2,5.2,7.0,16.0,6.0,9.0,1,1,6,2.0,8.4,3.2,1.8,22.0,8.0,6.0
Jaylen Clark,17,MIN,10,HOU,5.8,0.8,2.2,5.0,0.0,1.0,1,17,10,1.0,11.4,3.2,1.4,4.8,1.5,0.5
Jaylen Martin,2,BRK,15,MIA,1.0,0.0,0.0,0.0,0.0,0.0,1,2,15,54.0,10.8,5.2,1.4,1.0,0.0,0.0
Jaylen Nowell,18,NOP,6,DAL,10.4,2.6,3.6,16.0,3.0,6.0,1,18,6,3.0,13.4,3.6,2.0,8.375,2.5,2.25
Jaylen Wells,14,MEM,27,TOR,8.0,2.0,2.6,2.0,1.0,1.0,1,14,27,2.0,13.8,4.8,3.0,17.0,1.0,1.0
Jaylin Williams,20,OKC,27,TOR,6.2,3.0,9.0,4.0,3.0,12.0,1,20,27,2.0,14.6,5.4,3.2,5.869565217391305,5.6521739130434785,2.4347826086956523
Jaylon Tyson,5,CLE,29,WAS,6.4,1.8,3.6,0.0,1.0,2.0,1,5,29,2.0,4.2,2.8,1.8,2.0,2.0,1.0
Jayson Tatum,1,BOS,6,DAL,23.8,8.0,6.2,22.0,7.0,4.0,1,1,6,2.0,11.2,5.6,2.2,24.0,6.0,3.0
Jazian Gortman,6,DAL,1,BOS,1.6,0.6,0.4,3.0,1.0,0.0,1,6,1,22.0,5.0,5.0,1.0,1.5,0.3125,0.375
Jeenathan Williams,10,HOU,24,POR,3.2,0.2,0.6,9.0,1.0,0.0,1,10,24,3.0,6.0,3.0,1.2,2.6666666666666665,0.5,0.16666666666666666
Jeff Dowtin,22,PHI,6,DAL,3.6,2.8,1.2,0.0,0.0,0.0,1,22,6,7.0,12.2,4.4,2.4,3.5652173913043477,1.173913043478261,1.434782608695652
Jeff Green,10,HOU,2,BRK,7.6,0.4,2.6,10.0,2.0,3.0,1,10,2,16.0,20.2,7.2,5.4,4.071428571428571,1.2857142857142858,0.21428571428571427
Jerami Grant,24,POR,25,SAC,12.8,2.4,2.0,20.0,1.0,2.0,1,24,25,2.0,8.6,7.6,3.6,7.0,8.0,2.0
Jeremiah Robinson-Earl,18,NOP,7,DEN,1.6,0.6,3.4,0.0,0.0,1.0,1,18,7,2.0,5.8,3.2,1.2,0.0,1.0,0.0
Jeremy Sochan,26,SAS,4,CHO,8.0,2.8,4.8,15.0,2.0,4.0,1,26,4,2.0,12.4,3.4,0.8,12.0,7.533333333333333,2.533333333333333
Jericho Sims,19,NYK,27,TOR,0.4,0.4,1.6,0.0,0.0,0.0,1,19,27,1.0,11.0,5.8,3.0,0.0,1.0,1.0
Jett Howard,21,ORL,7,DEN,2.2,0.2,0.2,3.0,0.0,0.0,1,21,7,1.0,2.6,4.8,0.4,4.431818181818182,1.2045454545454546,0.5909090909090909
Jevon Carter,3,CHI,17,MIN,3.8,0.2,1.0,2.0,0.0,0.0,1,3,17,1.0,4.2,4.6,1.6,0.0,0.0,1.0
Jimmy Butler,15,MIA,24,POR,8.8,3.4,2.4,8.0,7.0,3.0,1,15,24,2.0,7.4,4.0,2.0,17.04,5.24,4.8
Jock Landale,10,HOU,17,MIN,4.0,1.4,3.4,2.0,2.0,2.0,1,10,17,5.0,4.6,3.2,2.8,3.0,1.0,1.0
Joe Ingles,17,MIN,25,SAC,2.0,1.0,0.4,10.0,3.0,1.0,1,17,25,2.0,6.0,0.6,1.4,0.0,0.0,0.0
Joel Embiid,22,PHI,8,DET,30.8,5.0,10.2,29.0,10.0,11.0,1,22,8,3.0,14.4,7.0,3.4,24.6,8.066666666666666,4.4
John Collins,28,UTA,23,PHO,19.4,0.8,8.0,19.0,2.0,5.0,1,28,23,2.0,18.0,6.0,3.6,22.0,6.0,6.0
John Konchar,14,MEM,27,TOR,2.0,0.6,2.2,2.0,3.0,3.0,1,14,27,2.0,7.4,3.2,2.6,9.0,5.0,2.0
